Country,wbi-2008,wbi-2009,wbi-2010,wbi-2011,wbi-2012,wbi-2013,wbi-2014,wbi-2015,wbi-2016,wbi-2017,wbi-2018,wbi-2019,gpi-2008,gpi-2009,gpi-2010,gpi-2011,gpi-2012,gpi-2013,gpi-2014,gpi-2015,gpi-2016,gpi-2017,gpi-2018,gpi-2019
Afghanistan,412.014286663,488.300250990,543.303041864,528.736648058,576.190125451,587.565090150,583.656192833,574.184114271,571.073774524,571.440690906,564.609991743,573.287551043,3.129,3.27,3.121,3.122,3.241,3.336,3.303,3.392,3.437,3.484,3.548,3.569
Albania,3775.581314292,3928.450391497,4094.350334420,4209.874800894,4276.607903884,4327.379959987,4413.296891279,4524.373085871,4681.826562993,4864.310616304,5074.857221944,5210.688290384,1.86,1.838,1.833,1.859,1.898,1.92,1.9,1.897,1.845,1.862,1.789,1.764
Algeria,4408.377571909,4402.440917821,4479.341719580,4523.248437379,4586.655184913,4621.590589059,4700.640562933,4775.873295087,4828.626059440,4792.387242212,4753.510987447,4699.763404566,2.322,2.337,2.373,2.516,2.449,2.384,2.278,2.263,2.247,2.235,2.232,2.24
Angola,3668.079892148,3565.056936386,3587.883798244,3579.959907386,3748.450654610,3796.882189364,3843.197877149,3748.320117715,3530.310671534,3409.930302600,3233.906234840,3111.157698743,2.047,2.038,2.038,2.091,2.123,2.078,2.059,1.956,2.024,1.956,2.031,2.019
Argentina,10201.475937092,9502.243585047,10385.964431955,10883.315359489,10649.837287457,10784.630699206,10398.694006946,10568.157808708,10239.481347993,10419.455405282,10049.555239252,9742.455416916,1.883,1.998,2.023,2.019,1.974,2.106,2.015,2.085,2.089,2.005,1.952,1.987
Armenia,3627.796702346,3137.346097743,3218.372706606,3370.551103358,3603.595848175,3705.357396377,3819.217787203,3923.716502112,3917.379675620,4198.794748698,4406.706433843,4732.069506100,2.269,2.292,2.309,2.267,2.267,2.271,2.21,2.212,2.15,2.219,2.277,2.169
Australia,51841.260997128,51767.402458871,52022.125596188,52567.761923866,53682.032143953,54129.935768947,54679.416445829,55079.892343368,55728.682255109,56058.465951437,56832.050482058,57183.379347624,1.374,1.408,1.419,1.474,1.53,1.484,1.419,1.391,1.423,1.43,1.44,1.453
Austria,48053.482356721,46123.491103197,46858.043273372,48065.316541190,48172.238115145,47901.366129632,47842.748908235,47789.385015439,48215.890528722,49031.107028615,50051.785912637,50536.664145998,1.326,1.361,1.374,1.406,1.39,1.29,1.262,1.233,1.216,1.266,1.248,1.256
Azerbaijan,5267.371988685,5642.504715485,5842.805783586,5676.450413341,5724.920831645,5981.580655671,6072.646128088,6063.717832038,5812.608670974,5764.692519559,5800.715184381,5879.426609594,2.312,2.371,2.391,2.391,2.404,2.468,2.427,2.444,2.447,2.466,2.467,2.405
Bahrain,21562.662471212,20796.201920581,20722.137289135,20516.588315731,20924.710430429,21805.117379257,22395.306034944,22353.359602030,22272.966896748,22167.078283371,21478.114425302,20912.986884152,1.862,1.87,1.809,2.225,2.087,2.207,2.288,2.168,2.282,2.329,2.309,2.262
Bangladesh,720.357100020,748.296160297,781.153593557,822.188302104,865.750045010,907.257539095,951.314947969,1002.388865678,1062.040059158,1127.271561968,1203.216425426,1287.821597110,2.134,2.103,2.174,2.18,2.191,2.126,2.049,2.049,2.063,2.013,2.088,2.142
Belarus,5560.146229103,5583.701854819,6029.396799829,6365.378053165,6478.704810900,6542.678412094,6649.649328343,6384.817144925,6215.701865501,6375.288929833,6586.297739609,6713.261553835,2.112,2.151,2.171,2.192,2.227,2.214,2.184,2.231,2.16,2.09,2.098,2.103
Belgium,44556.825223238,43306.596023102,44141.878141573,44309.632538269,44361.210093057,44355.377309877,44855.970201876,45507.231058204,45850.933030331,46409.130075944,47035.613954339,47541.096042559,1.488,1.498,1.508,1.495,1.497,1.474,1.435,1.413,1.399,1.47,1.536,1.531
Benin,1049.367869152,1043.961894350,1036.533951645,1037.747039955,1057.667740312,1102.527430027,1140.447753778,1128.996380300,1134.924536209,1166.760574840,1211.316562943,1259.808070646,2.174,2.174,2.174,2.222,2.178,2.084,2.061,1.947,1.973,2,1.937,1.938
Bhutan,1928.768679612,2038.561419673,2258.183141156,2411.028932052,2504.505891052,2526.433664955,2639.600882641,2780.819538883,2970.766506634,3072.020299292,3128.835496060,3262.198967599,1.911,1.936,1.985,1.966,1.785,1.713,1.694,1.672,1.598,1.62,1.533,1.51
Bolivia,1878.110253384,1909.084527417,1955.461543764,2024.117240305,2094.024152439,2201.396769931,2286.013172072,2361.056536588,2425.561575247,2490.956225814,2559.511190701,2579.899011903,2.035,2.114,2.151,2.079,2.156,2.198,2.132,2.103,2.043,2.04,2.061,2.072
