Country,Region,iso3c,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United Arab Emirates,Middle east,ARE,1.709,1.656,1.64,1.616,1.665,1.626,1.66,1.728,1.731,1.822,1.742,1.766,1.901,1.848
Afghanistan,Asia & Pacific,AFG,3.129,3.27,3.121,3.122,3.241,3.336,3.303,3.392,3.437,3.484,3.548,3.569,3.648,3.631
Albania,Europe,ALB,1.86,1.838,1.833,1.859,1.898,1.92,1.9,1.897,1.845,1.862,1.789,1.764,1.821,1.824
Armenia,Europe,ARM,2.269,2.292,2.309,2.267,2.267,2.271,2.21,2.212,2.15,2.219,2.277,2.169,1.996,2.075
Angola,Africa,AGO,2.047,2.038,2.038,2.091,2.123,2.078,2.059,1.956,2.024,1.956,2.031,2.019,2.032,2.017
Argentina,South/Latin America,ARG,1.883,1.998,2.023,2.019,1.974,2.106,2.015,2.085,2.089,2.005,1.952,1.987,1.97,1.945
Austria,Europe,AUT,1.326,1.361,1.374,1.406,1.39,1.29,1.262,1.233,1.216,1.266,1.248,1.256,1.261,1.317
Australia,Asia & Pacific,AUS,1.374,1.408,1.419,1.474,1.53,1.484,1.419,1.391,1.423,1.43,1.44,1.453,1.435,1.47
Azerbaijan,Asia & Pacific,AZE,2.312,2.371,2.391,2.391,2.404,2.468,2.427,2.444,2.447,2.466,2.467,2.405,2.212,2.334
Bosnia and Herzegovina,Europe,BIH,1.747,1.854,1.875,1.881,1.908,1.868,1.823,1.882,1.865,1.955,1.985,1.949,1.981,1.97
Bangladesh,Asia & Pacific,BGD,2.134,2.103,2.174,2.18,2.191,2.126,2.049,2.049,2.063,2.013,2.088,2.142,2.102,2.068
Belgium,Europe,BEL,1.488,1.498,1.508,1.495,1.497,1.474,1.435,1.413,1.399,1.47,1.536,1.531,1.485,1.496
Burkina Faso,Africa,BFA,1.849,1.788,1.792,1.749,1.766,1.899,1.819,1.891,2.04,2.069,2.073,2.166,2.273,2.527
Bulgaria,Europe,BGR,1.681,1.711,1.687,1.629,1.671,1.696,1.597,1.668,1.623,1.617,1.621,1.599,1.628,1.577
Bahrain,Arab States,BHR,1.862,1.87,1.809,2.225,2.087,2.207,2.288,2.168,2.282,2.329,2.309,2.262,2.151,2.121
Burundi,Africa,BDI,2.496,2.479,2.471,2.38,2.362,2.319,2.286,2.34,2.549,2.612,2.536,2.512,2.455,2.434
Benin,Africa,BEN,2.174,2.174,2.174,2.222,2.178,2.084,2.061,1.947,1.973,2,1.937,1.938,2.161,2.093
Bolivia,South/Latin America,BOL,2.035,2.114,2.151,2.079,2.156,2.198,2.132,2.103,2.043,2.04,2.061,2.072,2.099,2.14
Brazil,South/Latin America,BRA,2.096,2.104,2.102,2.09,2.121,2.089,2.121,2.209,2.175,2.23,2.222,2.364,2.409,2.43
Bhutan,Asia & Pacific,BTN,1.911,1.936,1.985,1.966,1.785,1.713,1.694,1.672,1.598,1.62,1.533,1.51,1.523,1.51
Botswana,Africa,BWA,1.833,1.795,1.773,1.794,1.779,1.756,1.857,1.751,1.714,1.717,1.763,1.76,1.772,1.753
Belarus,Europe,BLR,2.112,2.151,2.171,2.192,2.227,2.214,2.184,2.231,2.16,2.09,2.098,2.103,2.102,2.285
Canada,North America,CAN,1.39,1.437,1.517,1.473,1.442,1.334,1.323,1.338,1.333,1.33,1.34,1.338,1.331,1.33
Democratic Republic of the Congo,Africa,COD,2.931,2.976,3.019,2.965,3.011,2.944,3.096,3.136,3.087,3.034,3.187,3.206,3.184,3.196
Central African Republic,Africa,CAF,2.803,2.724,2.669,2.711,2.779,2.986,3.158,3.288,3.238,3.228,3.228,3.231,3.174,3.131
Republic of the Congo,Africa,COG,2.217,2.146,2.172,2.139,2.128,2.121,2.219,2.224,2.272,2.338,2.366,2.368,2.33,2.291
Switzerland,Europe,CHE,1.424,1.458,1.449,1.426,1.401,1.385,1.383,1.365,1.347,1.347,1.379,1.348,1.347,1.323
Chile,South/Latin America,CHL,1.728,1.75,1.784,1.813,1.706,1.676,1.656,1.649,1.638,1.626,1.669,1.666,1.831,1.831
Cameroon,Africa,CMR,2.014,2.075,2.171,2.097,2.083,2.018,2.064,2.289,2.407,2.481,2.548,2.579,2.64,2.7
China,Asia & Pacific,CHN,2.08,2.043,2.161,2.183,2.169,2.077,2.084,2.109,2.094,2.104,2.087,2.056,2.07,2.114
Colombia,South/Latin America,COL,2.812,2.75,2.832,2.739,2.675,2.627,2.677,2.713,2.685,2.72,2.692,2.641,2.632,2.694
Costa Rica,South/Latin America,CRI,1.67,1.69,1.699,1.826,1.775,1.825,1.8,1.732,1.733,1.726,1.791,1.734,1.719,1.735
Cuba,South/Latin America,CUB,2.061,2.056,2.055,2.03,2.071,2.057,2.027,2.032,2.015,2.018,2.001,2.028,2.029,2.042
Cyprus,Europe,CYP,1.752,1.757,1.941,1.929,1.957,1.91,1.974,1.934,1.922,1.91,1.874,1.884,1.882,1.912
Czech Republic,Europe,CZE,1.484,1.49,1.458,1.378,1.428,1.418,1.421,1.446,1.37,1.356,1.365,1.352,1.346,1.329
Germany,Europe,DEU,1.574,1.597,1.62,1.614,1.605,1.533,1.466,1.465,1.459,1.481,1.531,1.553,1.499,1.48
Djibouti,Arab States,DJI,2.024,2.013,2.067,2.11,1.976,1.942,1.981,2.155,2.252,2.166,2.216,2.157,2.183,2.146
Denmark,Europe,DNK,1.262,1.265,1.331,1.285,1.242,1.207,1.191,1.184,1.197,1.295,1.269,1.272,1.268,1.256
Dominican Republic,South/Latin America,DOM,2.005,2.021,2.117,2.137,2.109,2.114,2.122,2.134,2.133,2.119,2.081,2.047,1.995,2.024
